titulo,texto
Abdômen,"{'Noun': ['the region of the body of a vertebrate between the thorax and the pelvis', 'the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm']}"
Açúcar,"{'Noun': ['a white crystalline carbohydrate used as a sweetener and preservative', 'an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain', 'informal terms for money'], 'Verb': ['sweeten with sugar']}"
Amígdala,{'Noun': ['an almond-shaped neural structure in the anterior part of the temporal lobe of the cerebrum; intimately connected with the hypothalamus and the hippocampus and the cingulate gyrus; as part of the limbic system it plays an important role in motivation and emotional behavior']}
Alvéolo,"{'Noun': ['a tiny sac for holding air in the lungs; formed by the terminal dilation of tiny air passageways', 'a bony socket in the alveolar ridge that holds a tooth']}"
Antebraço,"{'Noun': ['the part of the superior limb between the elbow and the wrist'], 'Verb': ['arm in advance of a confrontation']}"
Apêndice,"{'Noun': ['supplementary material that is collected and appended at the back of a book', 'a vestigial process that extends from the lower end of the cecum and that resembles a small pouch']}"
Aponeurose,{'Noun': ['any of the deeper and thicker fascia that attach muscles to bones; resemble flattened tendons']}
Aracnoide,"{'Noun': ['the middle of the 3 meninges', 'air-breathing arthropods characterized by simple eyes and four pairs of legs'], 'Adjective': ['relating to or resembling a member of the class Arachnida']}"
Artérias,"{'Noun': ['a blood vessel that carries blood from the heart to the body', 'a major thoroughfare that bears important traffic']}"
Coronárias,{'Noun': ['obstruction of blood flow in a coronary artery by a blood clot (thrombus']}
Suprarrenal,"{'Noun': ['either of a pair of complex endocrine glands situated near the kidney'], 'Adjective': ['of or pertaining to the adrenal glands or their secretions', 'near the kidneys']}"
Arteríolas,{'Noun': ['one of the small thin-walled arteries that end in capillaries']}
Articulações,"{'Noun': ['(anatomy', 'especially if it allows motion', 'a disreputable place of entertainment', 'the shape or manner in which things come together and a connection is made', 'a piece of meat roasted or for roasting and of a size for slicing into more than one portion', 'junction by which parts or objects are joined together', 'marijuana leaves rolled into a cigarette for smoking'], 'Verb': ['fit as if by joints', 'provide with a joint', 'fasten with a joint', 'separate (meat']}"
Aurículas,"{'Noun': ['a small conical pouch projecting from the upper anterior part of each atrium of the heart', 'the externally visible cartilaginous structure of the external ear']}"
Axilas,{'Noun': ['the hollow under the arm where it is joined to the shoulder']}
Baço,"{'Noun': ['a large dark-red oval organ on the left side of the body between the stomach and the diaphragm; produces cells involved in immune responses', 'a feeling of resentful anger']}"
Barba,"{'Noun': [""the hair growing on the lower part of a man's face"", 'a tuft or growth of hairs or bristles on certain plants such as iris or grasses', 'a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality', 'hairy growth on or near the face of certain mammals', 'tuft of strong filaments by which e.g. a mussel makes itself fast to a fixed surface'], 'Verb': ['go along the rim, like a beard around the chin']}"
Barriga,"{'Noun': ['an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion', 'the region of the body of a vertebrate between the thorax and the pelvis', 'an inclination or liking for things involving conflict or difficulty or unpleasantness', 'an appetite for food'], 'Verb': ['bear to eat', 'put up with something or somebody unpleasant']}"
Bexiga,"{'Noun': ['a distensible membranous sac (usually containing liquid or gas', 'a bag that fills with air']}"
Bícepes,{'Noun': ['any skeletal muscle having two origins (but especially the muscle that flexes the forearm']}
Bigode,{'Noun': ['an unshaved growth of hair on the upper lip']}
Bile,{'Noun': ['a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats']}
Boca,"{'Noun': ['the opening through which food is taken in and vocalizations emerge', 'the externally visible part of the oral cavity on the face and the system of organs surrounding the opening', 'an opening that resembles a mouth (as of a cave or a gorge', 'the point where a stream issues into a larger body of water', 'a person conceived as a consumer of food', 'a spokesperson (as a lawyer', 'an impudent or insolent rejoinder', 'the opening of a jar or bottle'], 'Verb': ['express in speech', 'articulate silently; form words with the lips only', 'touch with the mouth']}"
Bochechas,"{'Noun': ['either side of the face below the eyes', 'an impudent statement', 'either of the two large fleshy masses of muscular tissue that form the human rump', 'impudent aggressiveness'], 'Verb': ['speak impudently to']}"
Braços,"{'Noun': ['a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb', 'any projection that is thought to resemble a human arm', 'any instrument or instrumentality used in fighting or hunting', 'the part of an armchair or sofa that supports the elbow and forearm of a seated person', 'a division of some larger or more complex organization', 'the part of a garment that is attached at the armhole and that provides a cloth covering for the arm', 'weapons considered collectively', 'the official symbols of a family, state, etc.'], 'Verb': ['prepare oneself for a military confrontation', 'supply with arms']}"
Brônquios,{'Noun': ['either of the two main branches of the trachea']}
Bronquíolos,{'Noun': ['any of the smallest bronchial ducts; ending in alveoli']}
Bulbo,"{'Noun': ['a modified bud consisting of a thickened globular underground stem serving as a reproductive structure', 'electric lamp consisting of a transparent or translucent glass housing containing a wire filament (usually tungsten', 'a rounded part of a cylindrical instrument (usually at one end', 'anything with a round shape resembling a teardrop', ""lower or hindmost part of the brain; continuous with spinal cord; (`bulb' is an old term for medulla oblongata"", 'a rounded dilation or expansion in a canal or vessel or organ']}"
Cabelo,"{'Noun': ['a covering for the body (or parts of it', 'as on the human head', 'a very small distance or space', 'filamentous hairlike growth on a plant', 'any of the cylindrical filaments characteristically growing from the epidermis of a mammal', 'cloth woven from horsehair or camelhair; used for upholstery or stiffening in garments', 'a filamentous projection or process on an organism']}"
Cabeça,"{'Noun': ['the upper part of the human body or the front part of the body in animals; contains the face and brains', 'a single domestic animal', ""that which is responsible for one's thoughts, feelings, and conscious brain functions; the seat of the faculty of reason"", 'a person who is in charge', 'the front of a military formation or procession', 'the pressure exerted by a fluid', 'the top of something', 'the source of water from which a stream arises', '(grammar', 'the tip of an abscess (where the pus accumulates', 'the length or height based on the size of a human or animal head', 'a dense cluster of flowers or foliage', 'the educator who has executive authority for a school', 'an individual person', 'a user of (usually soft', 'a natural elevation (especially a rocky one that juts out into the sea', 'a rounded compact mass', 'the foam or froth that accumulates at the top when you pour an effervescent liquid into a container', 'the part in the front or nearest the viewer', 'a difficult juncture', 'forward movement', 'a V-shaped mark at one end of an arrow pointer', 'the subject matter at issue', 'a line of text serving to indicate what the passage below it is about', 'the rounded end of a bone that fits into a rounded cavity in another bone to form a joint', 'that part of a skeletal muscle that is away from the bone that it moves', '(computer science', '(usually plural', 'the striking part of a tool', '(nautical', 'a projection out from one end', 'a membrane that is stretched taut over a drum', 'oral stimulation of the genitals'], 'Verb': ['to go or travel towards', 'be in charge of', 'travel in front of; go in advance of others', 'be the first or leading member of (a group', 'direct the course; determine the direction of travelling', 'take its rise', 'be in the front of or on top of', 'form a head or come or grow to a head', 'remove the head of']}"
Capilares,"{'Noun': ['a tube of small internal diameter; holds liquid by capillary action', 'any of the minute blood vessels connecting arterioles with venules']}"
Cárdia,"{'Noun': ['the opening into the stomach and that part of the stomach connected to the esophagus', 'type genus of the family Cardiidae: cockles']}"
Ceco,{'Noun': ['the cavity in which the large intestine begins and into which the ileum opens']}
Célula,"{'Noun': ['any small compartment', '(biology', 'as in monads', 'a device that delivers an electric current as the result of a chemical reaction', 'a small unit serving as part of or as the nucleus of a larger political movement', 'a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver', 'small room in which a monk or nun lives', 'a room where a prisoner is kept']}"
Cerebelo,{'Noun': ['a major division of the vertebrate brain; situated above the medulla oblongata and beneath the cerebrum in humans']}
